ens_stable_id,ens_stable_id_version,refseq_stable_id,refseq_stable_id_version,mane_type,ens_gene_name
ENST00000269217,11,NM_000227,6,MANE PLUS CLINICAL,LAMA3
ENST00000423027,8,NM_001369387,1,MANE PLUS CLINICAL,GNAL
ENST00000303391,11,NM_004992,4,MANE PLUS CLINICAL,MECP2
ENST00000371075,7,NM_016592,5,MANE PLUS CLINICAL,GNAS
ENST00000394155,8,NM_001159702,3,MANE PLUS CLINICAL,FHL1
ENST00000639161,2,NM_001243197,2,MANE PLUS CLINICAL,IQSEC2
ENST00000622768,5,NM_000828,5,MANE PLUS CLINICAL,GRIA3
ENST00000373302,8,NM_003165,6,MANE PLUS CLINICAL,STXBP1
ENST00000579755,2,NM_058195,4,MANE PLUS CLINICAL,CDKN2A
ENST00000396594,8,NM_001128227,3,MANE PLUS CLINICAL,GNE
ENST00000643399,2,NM_001358263,1,MANE PLUS CLINICAL,HK1
ENST00000263066,11,NM_001368067,1,MANE PLUS CLINICAL,LDB3
ENST00000377329,10,NM_201590,3,MANE PLUS CLINICAL,CACNB2
ENST00000359741,10,NM_015359,6,MANE PLUS CLINICAL,SLC39A14
ENST00000356346,7,NM_201378,4,MANE PLUS CLINICAL,PLEC
ENST00000306349,13,NM_001199,4,MANE PLUS CLINICAL,BMP1
ENST00000447839,7,NM_001277058,2,MANE PLUS CLINICAL,ERCC6
ENST00000437951,6,NM_001083603,3,MANE PLUS CLINICAL,PTCH1
ENST00000316170,9,NM_001491,3,MANE PLUS CLINICAL,GCNT2
ENST00000452625,7,NM_001040113,2,MANE PLUS CLINICAL,MYH11
ENST00000358544,7,NM_017890,5,MANE PLUS CLINICAL,VPS13B
ENST00000320301,11,NM_033056,4,MANE PLUS CLINICAL,PCDH15
ENST00000622516,6,NM_001913,5,MANE PLUS CLINICAL,CUX1
ENST00000340595,4,NM_003759,4,MANE PLUS CLINICAL,SLC4A4
ENST00000288723,9,NM_004249,4,MANE PLUS CLINICAL,RAB28
ENST00000588136,7,NM_001136139,4,MANE PLUS CLINICAL,TCF3
ENST00000395479,10,NM_001329556,3,MANE PLUS CLINICAL,REEP6
ENST00000450852,8,NM_176806,4,MANE PLUS CLINICAL,MOCS2
ENST00000379104,7,NM_001365677,2,MANE PLUS CLINICAL,P4HA2
ENST00000355637,9,NM_145893,3,MANE PLUS CLINICAL,RBFOX1
ENST00000413689,6,NM_001099404,2,MANE PLUS CLINICAL,SCN5A
ENST00000354600,10,NM_001114980,2,MANE PLUS CLINICAL,TP63
ENST00000337774,10,NM_001879,6,MANE PLUS CLINICAL,MASP1
ENST00000394351,9,NM_000248,4,MANE PLUS CLINICAL,MITF
ENST00000354534,11,NM_014191,4,MANE PLUS CLINICAL,SCN8A
ENST00000646693,2,NM_001387283,1,MANE PLUS CLINICAL,SMARCA4
ENST00000370765,11,NM_001723,7,MANE PLUS CLINICAL,DST
ENST00000354674,5,NM_001347702,2,MANE PLUS CLINICAL,SYNE1
ENST00000318024,9,NM_005709,4,MANE PLUS CLINICAL,USH1C
ENST00000340908,9,NM_213655,5,MANE PLUS CLINICAL,WNK1
ENST00000553257,6,NM_001278464,2,MANE PLUS CLINICAL,DNM1L
ENST00000228318,8,NM_005888,4,MANE PLUS CLINICAL,SLC25A3
ENST00000288139,11,NM_000720,4,MANE PLUS CLINICAL,CACNA1D
ENST00000399603,6,NM_001167623,2,MANE PLUS CLINICAL,CACNA1C
ENST00000650373,2,NM_001080463,2,MANE PLUS CLINICAL,DYNC2H1
ENST00000329047,13,NM_006640,5,MANE PLUS CLINICAL,SEPTIN9
ENST00000294053,9,NM_030813,6,MANE PLUS CLINICAL,CLPB
ENST00000345530,8,NM_001006657,2,MANE PLUS CLINICAL,WDR35
ENST00000360870,10,NM_133379,5,MANE PLUS CLINICAL,TTN
ENST00000339598,8,NM_194323,3,MANE PLUS CLINICAL,OTOF
ENST00000631182,3,NM_001371246,1,MANE PLUS CLINICAL,SCN2A
ENST00000427231,7,NM_001164507,2,MANE PLUS CLINICAL,NEB
ENST00000258104,8,NM_003494,4,MANE PLUS CLINICAL,DYSF
ENST00000539706,6,NM_001160331,2,MANE PLUS CLINICAL,NFASC
